"","year","model","anomaly"
"406",1940,"CNRM-CM6-1.nc",17.9545693393726
"407",1940,"EC-Earth3-CC.nc",18.3844852107268
"408",1940,"INM-CM5-0.nc",16.8686505735535
"409",1940,"MIROC-ES2L.nc",17.737186586655
"410",1940,"MIROC6.nc",17.7705734282367
"411",1941,"ACCESS-CM2.nc",17.4235981550677
"412",1941,"CESM2-WACCM.nc",18.3536644004325
"413",1941,"CIESM.nc",19.1093046645629
"414",1941,"CMCC-CM2-SR5.nc",18.0792914435527
"415",1941,"CMCC-ESM2.nc",17.6413506021816
"416",1941,"CNRM-CM6-1.nc",18.0888684176233
"417",1941,"EC-Earth3-CC.nc",18.5348008945267
"418",1941,"INM-CM5-0.nc",16.8644338266707
"419",1941,"MIROC-ES2L.nc",17.5850449378998
"420",1941,"MIROC6.nc",17.8355203309596
"421",1942,"ACCESS-CM2.nc",17.1636329080883
"422",1942,"CESM2-WACCM.nc",18.2856142794584
"423",1942,"CIESM.nc",19.1857566884757
"424",1942,"CMCC-CM2-SR5.nc",17.8145906952045
"425",1942,"CMCC-ESM2.nc",17.7013680469693
"426",1942,"CNRM-CM6-1.nc",18.3223402290244
"427",1942,"EC-Earth3-CC.nc",18.4031742769496
"428",1942,"INM-CM5-0.nc",16.839187184556
"429",1942,"MIROC-ES2L.nc",17.5630989504376
"430",1942,"MIROC6.nc",17.7233564212458
"431",1943,"ACCESS-CM2.nc",17.2350275976667
"432",1943,"CESM2-WACCM.nc",18.5085894345599
"433",1943,"CIESM.nc",19.2329518392235
"434",1943,"CMCC-CM2-SR5.nc",17.7215881480113
"435",1943,"CMCC-ESM2.nc",17.5019914176235
"436",1943,"CNRM-CM6-1.nc",18.2510564134188
"437",1943,"EC-Earth3-CC.nc",18.6448848298808
"438",1943,"INM-CM5-0.nc",16.723173153234
"439",1943,"MIROC-ES2L.nc",17.5598474698028
"440",1943,"MIROC6.nc",17.7465084000795
"441",1944,"ACCESS-CM2.nc",17.4865610324645
"442",1944,"CESM2-WACCM.nc",18.1053499012077
"443",1944,"CIESM.nc",18.9231652848189
"444",1944,"CMCC-CM2-SR5.nc",17.7406799276337
"445",1944,"CMCC-ESM2.nc",17.6802367154828
"446",1944,"CNRM-CM6-1.nc",18.1119750294894
"447",1944,"EC-Earth3-CC.nc",18.7260092509785
"448",1944,"INM-CM5-0.nc",16.9587847035588
"449",1944,"MIROC-ES2L.nc",17.8508632056418
"450",1944,"MIROC6.nc",17.7085101755155
"451",1945,"ACCESS-CM2.nc",17.671766264367
"452",1945,"CESM2-WACCM.nc",18.2632722545152
"453",1945,"CIESM.nc",19.0374191692502
"454",1945,"CMCC-CM2-SR5.nc",17.7747952883401
"455",1945,"CMCC-ESM2.nc",17.6398692499451
"456",1945,"CNRM-CM6-1.nc",18.051063450661
"457",1945,"EC-Earth3-CC.nc",18.6024975859323
"458",1945,"INM-CM5-0.nc",17.0834840346821
"459",1945,"MIROC-ES2L.nc",17.4305246534164
"460",1945,"MIROC6.nc",17.628323167481
"461",1946,"ACCESS-CM2.nc",17.5201107538351
"462",1946,"CESM2-WACCM.nc",17.9875101888788
"463",1946,"CIESM.nc",19.4303589385424
"464",1946,"CMCC-CM2-SR5.nc",18.0285572746668
"465",1946,"CMCC-ESM2.nc",17.8578369645249
"466",1946,"CNRM-CM6-1.nc",18.0288920759178
"467",1946,"EC-Earth3-CC.nc",18.7606399510061
"468",1946,"INM-CM5-0.nc",17.164009548538
"469",1946,"MIROC-ES2L.nc",17.4527548904025
"470",1946,"MIROC6.nc",17.4761403990487
"471",1947,"ACCESS-CM2.nc",17.3590464459676
"472",1947,"CESM2-WACCM.nc",17.8917514198483
"473",1947,"CIESM.nc",19.3177173629246
"474",1947,"CMCC-CM2-SR5.nc",17.9970440557834
"475",1947,"CMCC-ESM2.nc",17.5720543068834
"476",1947,"CNRM-CM6-1.nc",17.8975189447168
"477",1947,"EC-Earth3-CC.nc",18.6681327911895
"478",1947,"INM-CM5-0.nc",17.4010599786881
"479",1947,"MIROC-ES2L.nc",17.2531163355519
"480",1947,"MIROC6.nc",17.8143036723375
"481",1948,"ACCESS-CM2.nc",17.3571709774938
"482",1948,"CESM2-WACCM.nc",18.3621368744797
"483",1948,"CIESM.nc",19.0209615601107
"484",1948,"CMCC-CM2-SR5.nc",18.1628085851909
"485",1948,"CMCC-ESM2.nc",17.4827628637318
"486",1948,"CNRM-CM6-1.nc",17.965162138781
"487",1948,"EC-Earth3-CC.nc",18.5536389759267
"488",1948,"INM-CM5-0.nc",17.2437474267351
"489",1948,"MIROC-ES2L.nc",17.7216800805397
"490",1948,"MIROC6.nc",17.8206545788635
"491",1949,"ACCESS-CM2.nc",17.0318310062868
"492",1949,"CESM2-WACCM.nc",18.5376188583144
"493",1949,"CIESM.nc",19.1470187648345
"494",1949,"CMCC-CM2-SR5.nc",18.0712431171899
"495",1949,"CMCC-ESM2.nc",17.9096839601877
"496",1949,"CNRM-CM6-1.nc",18.1942054161282
"497",1949,"EC-Earth3-CC.nc",18.8292220258629
"498",1949,"INM-CM5-0.nc",17.006529379359
"499",1949,"MIROC-ES2L.nc",18.0342082580482
"500",1949,"MIROC6.nc",17.9917087879488
"501",1950,"ACCESS-CM2.nc",17.417645353527
"502",1950,"CESM2-WACCM.nc",18.5611517384565
"503",1950,"CIESM.nc",19.0171467600183
"504",1950,"CMCC-CM2-SR5.nc",17.7254912071867
"505",1950,"CMCC-ESM2.nc",17.8182231909221
"506",1950,"CNRM-CM6-1.nc",18.1696435739283
"507",1950,"EC-Earth3-CC.nc",18.6971362378146
"508",1950,"INM-CM5-0.nc",17.1070711836088
