"Year","Estimate","LCI","UCI","variable"
2012,1.64460550874083,1.57158536759958,1.72862560439663,"Risk ratio"
2013,3.96924962097677,3.70310985081473,4.26422559057473,"Risk ratio"
2014,19.565157040632,17.2531516696105,22.252109967779,"Risk ratio"
2015,20.3095576036072,18.0487869329002,22.8749982898911,"Risk ratio"
2016,62.7390036083443,44.2557541318996,94.3006516376543,"Risk ratio"
2017,7.64389908981205,7.0524118975427,8.29135980109173,"Risk ratio"
2018,23.6371531629189,21.1818136747537,26.4321080746046,"Risk ratio"
2019,83.0403750705992,59.1479514133477,124.044426137287,"Risk ratio"
2020,11.5861562173735,10.552840555477,12.7263669431412,"Risk ratio"
2021,3.48122068286673,3.20624032393662,3.80089993008245,"Risk ratio"
