"model","year","warming"
"CESM2-WACCM",1985,-0.107183493803972
"CESM2-WACCM",1986,-0.0908623052717521
"CESM2-WACCM",1987,-0.0720609014100176
"CESM2-WACCM",1988,-0.0506515795457344
"CESM2-WACCM",1989,-0.026577720064316
"CESM2-WACCM",1990,0.000138761880155887
"CESM2-WACCM",1991,0.0293945237218749
"CESM2-WACCM",1992,0.0610067439420691
"CESM2-WACCM",1993,0.0947198721948169
"CESM2-WACCM",1994,0.130216819949848
"CESM2-WACCM",1995,0.167133931518165
"CESM2-WACCM",1996,0.205078820534144
"CESM2-WACCM",1997,0.243649964688808
"CESM2-WACCM",1998,0.282456835532323
