"ACCESS-CM2.nc_piControl","date"
20.7795997996948,08/01/46
20.7014547101694,09/01/46
19.3463975997778,10/01/46
17.7099258970182,11/01/46
16.0991241744947,12/01/46
15.0214824788397,01/01/47
14.3893556912451,02/01/47
14.2556247639604,03/01/47
14.7123775021364,04/01/47
15.8509016991834,05/01/47
17.4091765495434,06/01/47
19.443308162928,07/01/47
20.981210467621,08/01/47
21.0201205099989,09/01/47
19.3823309464898,10/01/47
17.6244079019372,11/01/47
16.1764461241871,12/01/47
15.1663295384186,01/01/48
14.5536304588369,02/01/48
14.4624896940159,03/01/48
14.7910359251863,04/01/48
15.8062203166033,05/01/48
17.6174228875365,06/01/48
19.7396593181052,07/01/48
21.1313837066842,08/01/48
20.8739990925115,09/01/48
19.3194230849789,10/01/48
17.7130217574285,11/01/48
16.1267369145187,12/01/48
15.007490092882,01/01/49
14.4083032159996,02/01/49
14.335264478944,03/01/49
14.725035176877,04/01/49
15.6446372184682,05/01/49
17.2834434268527,06/01/49
19.234196063331,07/01/49
20.6987573137564,08/01/49
20.7311880760276,09/01/49
19.2105295265927,10/01/49
17.5873453536319,11/01/49
16.0564955753436,12/01/49
15.066025313131,01/01/50
14.4880272934547,02/01/50
14.3273458605341,03/01/50
14.6700579383575,04/01/50
15.7923521615436,05/01/50
17.450478477243,06/01/50
19.5573091751217,07/01/50
20.9487756304001,08/01/50
20.7668398106774,09/01/50
19.252762855626,10/01/50
17.6163064614611,11/01/50
16.0686116121796,12/01/50
15.0179645858042,01/01/51
14.3529619853543,02/01/51
14.2373471829581,03/01/51
14.664839469705,04/01/51
15.7231456393167,05/01/51
17.3914088879185,06/01/51
19.401598519994,07/01/51
20.952097154915,08/01/51
20.8172676432265,09/01/51
19.2437713139818,10/01/51
17.4836222455724,11/01/51
16.0710464496734,12/01/51
15.0103551129003,01/01/52
14.4801302612647,02/01/52
14.3771483535097,03/01/52
14.7097498204029,04/01/52
15.6500119669472,05/01/52
17.5287035238889,06/01/52
19.5147951150964,07/01/52
20.9574633129595,08/01/52
20.8975317065795,09/01/52
19.2517437878075,10/01/52
17.5141661960134,11/01/52
15.9770722732276,12/01/52
14.9900555859259,01/01/53
14.3669173663636,02/01/53
14.2575831627444,03/01/53
14.6773223621449,04/01/53
15.681862874894,05/01/53
17.5697711970494,06/01/53
19.5772918472258,07/01/53
21.0526708775496,08/01/53
21.0069195453471,09/01/53
19.5278668928303,10/01/53
17.801652683655,11/01/53
16.2211438065658,12/01/53
15.0686936342275,01/01/54
14.5389561245455,02/01/54
14.3694476898402,03/01/54
14.727766824894,04/01/54
15.6370496621854,05/01/54
17.3519306653962,06/01/54
19.5472184984047,07/01/54
20.9004241499077,08/01/54
20.6671692951301,09/01/54
19.1025857618806,10/01/54
17.593550070238,11/01/54
16.0689496127345,12/01/54
15.0454980295103,01/01/55
14.4714986367966,02/01/55
14.3014411852239,03/01/55
14.6578639268089,04/01/55
15.6505519528451,05/01/55
17.6672174508803,06/01/55
19.6305244566184,07/01/55
